Connecting to 45.63.82.34:1883 …

Listening for 15 minutes … (Ctrl-C to stop early)

[connect] rc=0 — OK
  ✓ Subscribed: KTBMES/TWIX/sensors/house_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_pressure_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/unknown_other_sensors/#
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_129  →  {"device_id": "129", "device_name": "UNKNOWN_DEVICE_129", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_18  →  {"device_id": "18", "device_name": "UNKNOWN_DEVICE_18", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_50  →  {"device_id": "50", "device_name": "UNKNOWN_DEVICE_50", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_22  →  {"device_id": "22", "device_name": "UNKNOWN_DEVICE_22", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_70  →  {"device_id": "70", "device_name": "UNKNOWN_DEVICE_70", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_0FD62D4  →  {"device_id": "0FD62D4", "device_name": "UNKNOWN_DEVICE_0FD62D4", "protocol_id":
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_80  →  {"device_id": "80", "device_name": "UNKNOWN_DEVICE_80", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_134  →  {"device_id": "134", "device_name": "UNKNOWN_DEVICE_134", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_133  →  {"device_id": "133", "device_name": "UNKNOWN_DEVICE_133", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_fa9288  →  {"device_id": "fa9288", "device_name": "UNKNOWN_DEVICE_fa9288", "protocol_id": "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_28  →  {"device_id": "28", "device_name": "UNKNOWN_DEVICE_28", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_3  →  {"device_id": "3", "device_name": "UNKNOWN_DEVICE_3", "protocol_id": "-1", "prot
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_94  →  {"device_id": "94", "device_name": "UNKNOWN_DEVICE_94", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_114  →  {"device_id": "114", "device_name": "UNKNOWN_DEVICE_114", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_204  →  {"device_id": "204", "device_name": "UNKNOWN_DEVICE_204", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/house_weather_sensors/DUMMY  →  {"device_id": "0", "device_name": "DUMMY", "protocol_id": "-1", "protocol_name":
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_192  →  {"device_id": "192", "device_name": "UNKNOWN_DEVICE_192", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_0A22847  →  {"device_id": "0A22847", "device_name": "UNKNOWN_DEVICE_0A22847", "protocol_id":
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_1CFE5C9  →  {"device_id": "1CFE5C9", "device_name": "UNKNOWN_DEVICE_1CFE5C9", "protocol_id":
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_fa9359  →  {"device_id": "fa9359", "device_name": "UNKNOWN_DEVICE_fa9359", "protocol_id": "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_130  →  {"device_id": "130", "device_name": "UNKNOWN_DEVICE_130", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_907d48c9  →  {"device_id": "907d48c9", "device_name": "UNKNOWN_DEVICE_907d48c9", "protocol_id
